"Vueltas","Tiempo","Tiempo acumulado","Distancia","Ritmo medio","GAP medio","Frecuencia cardiaca media","Frecuencia cardiaca máxima","Ascenso total","Descenso total","Potencia media","Media de W/kg","Potencia máxima","Máximo de W/kg","Cadencia de carrera media","Tiempo medio de contacto con el suelo","Equilibrio de TCS medio","Longitud media de zancada","Oscilación vertical media","Relación vertical media","Calorías","Temperatura media","Ritmo óptimo","Cadencia de carrera máxima","Tiempo en movimiento","Ritmo medio en movimiento"
"1","1:33:55","1:33:55","12.14","7:44","--","130","165","518","515","--","--","--","--","122","--","--","1.06","--","--","721","--","4:07","244","1:17:26","6:23"
"Resumen","1:33:55","1:33:55","12.14","7:44","","130","165","518","515","","","","","122","","","1.06","","","721","","4:07","244","1:17:26","6:23"
